ユーザー名,アカウントID,希望キャスト１,希望キャスト２,希望キャスト３
佐藤ほのか,@vrc_0000,柘榴_ざくろ,moku,ニャンツァー
鈴木ひまり,@game_0001,なゆたの,moku,
高橋そうた,@play_0002,moku,,
田中しょうた,@star_0003,ちるちる,ぷりも,ばじばじ
伊藤ゆうな,@moon_0004,ちるちる,,
渡辺ことね,@sun_0005,ふぃり,ぷりも,
山本みなと,@sky_0006,なんこつ,,
中村けんた,@cat_0007,moku,ふぃり,ばじばじ
小林そうま,@fox_0008,ぷりも,ニャンツァー,
加藤はるか,@bear_0009,柘榴_ざくろ,るびちゃ,れあちーず
吉田そら,@vrc_0010,ばじばじ,,
山田ゆい,@game_0011,なゆたの,なんこつ,
佐々木りく,@play_0012,ヌウア,ちるちる,れあちーず
松本さくら,@star_0013,ヌウア,れあちーず,
井上あやね,@moon_0014,ニャンツァー,るびちゃ,
木村こうき,@sun_0015,ばも,,
林みさき,@sky_0016,Diefuku,ばじばじ,
清水あいり,@cat_0017,ニャンツァー,,
山口たくみ,@fox_0018,ぷりも,れあちーず,ヌウア
阿部こうへい,@bear_0019,moku,ちるちる,
池田かなで,@vrc_0020,なんこつ,,
橋本のぞみ,@game_0021,ちるちる,れあちーず,なんこつ
石川ましろ,@play_0022,ばじばじ,ニャンツァー,ばも
前田あかり,@star_0023,ヌウア,なゆたの,Diefuku
藤田れいな,@moon_0024,めび,ニャンツァー,
小川だいき,@sun_0025,めび,Diefuku,ちるちる
後藤つむぎ,@sky_0026,なゆたの,ふぃり,moku
岡田めい,@cat_0027,ばも,ばじばじ,
長谷川ふうか,@fox_0028,Diefuku,めび,
村上りお,@bear_0029,なんこつ,めび,ヌウア
近藤ひなた,@vrc_0030,るびちゃ,柘榴_ざくろ,なんこつ
石井しゅん,@game_0031,るびちゃ,ヌウア,ばじばじ
斎藤みお,@play_0032,なんこつ,ぷりも,
坂本みずき,@star_0033,ヌウア,なんこつ,めび
遠藤たいが,@moon_0034,Diefuku,めび,
藤井ゆうき,@sun_0035,ニャンツァー,なゆたの,
青木いつき,@sky_0036,ふぃり,Diefuku,
西村ともや,@cat_0037,ぷりも,ばじばじ,
福田れん,@fox_0038,ばじばじ,ヌウア,なんこつ
太田あおい,@bear_0039,なゆたの,ふぃり,ばも
三浦ちひろ,@vrc_0040,柘榴_ざくろ,,
藤原こはる,@game_0041,なゆたの,めび,Diefuku
岡本ななみ,@play_0042,ばじばじ,ぷりも,ちるちる
松田さら,@star_0043,ぷりも,ばも,
中川はると,@moon_0044,ふぃり,れあちーず,
竹内はやと,@sun_0045,めび,moku,ちるちる
金子かいと,@sky_0046,ふぃり,るびちゃ,ニャンツァー
和田まい,@cat_0047,ヌウア,ちるちる,ニャンツァー
中野けい,@fox_0048,ばも,柘榴_ざくろ,
原田るい,@bear_0049,Diefuku,moku,ニャンツァー
河野せい,@vrc_0050,るびちゃ,なゆたの,ふぃり
小野りょう,@game_0051,れあちーず,めび,ニャンツァー
田村ゆう,@play_0052,ふぃり,ぷりも,なんこつ
上田なお,@star_0053,るびちゃ,,
新井まさき,@moon_0054,るびちゃ,,
丸山ゆうと,@sun_0055,Diefuku,柘榴_ざくろ,ぷりも
大野ほのか,@sky_0056,柘榴_ざくろ,ちるちる,
高木ひまり,@cat_0057,Diefuku,れあちーず,るびちゃ
菅原そうた,@fox_0058,柘榴_ざくろ,なんこつ,
酒井しょうた,@bear_0059,ちるちる,Diefuku,moku
宮本ゆうな,@vrc_0060,ちるちる,るびちゃ,
安藤ことね,@game_0061,なゆたの,Diefuku,
馬場みなと,@play_0062,ふぃり,なゆたの,ニャンツァー
野口けんた,@star_0063,ぷりも,ばじばじ,
柴田そうま,@moon_0064,Diefuku,ふぃり,るびちゃ
島田はるか,@sun_0065,なんこつ,moku,ニャンツァー
渡部そら,@sky_0066,めび,Diefuku,
野村ゆい,@cat_0067,Diefuku,ふぃり,
森田りく,@fox_0068,なんこつ,Diefuku,
工藤さくら,@bear_0069,柘榴_ざくろ,,
佐藤あやね,@vrc_0070,なんこつ,ぷりも,
鈴木こうき,@game_0071,ちるちる,moku,
高橋みさき,@play_0072,なんこつ,ちるちる,柘榴_ざくろ
田中あいり,@star_0073,ちるちる,ふぃり,なんこつ
伊藤たくみ,@moon_0074,ばも,なんこつ,
渡辺こうへい,@sun_0075,moku,ぷりも,
山本かなで,@sky_0076,なんこつ,るびちゃ,
中村のぞみ,@cat_0077,ばじばじ,なんこつ,
小林ましろ,@fox_0078,めび,,
加藤あかり,@bear_0079,ばじばじ,Diefuku,
吉田れいな,@vrc_0080,moku,柘榴_ざくろ,
山田だいき,@game_0081,めび,ちるちる,柘榴_ざくろ
佐々木つむぎ,@play_0082,ヌウア,るびちゃ,
松本めい,@star_0083,なんこつ,Diefuku,れあちーず
井上ふうか,@moon_0084,なゆたの,ばじばじ,
木村りお,@sun_0085,ばも,,
林ひなた,@sky_0086,Diefuku,ちるちる,
清水しゅん,@cat_0087,れあちーず,Diefuku,
山口みお,@fox_0088,柘榴_ざくろ,めび,
阿部みずき,@bear_0089,れあちーず,柘榴_ざくろ,ちるちる
池田たいが,@vrc_0090,れあちーず,なんこつ,なゆたの
橋本ゆうき,@game_0091,ばも,なんこつ,
石川いつき,@play_0092,Diefuku,柘榴_ざくろ,なゆたの
前田ともや,@star_0093,ばじばじ,ニャンツァー,
藤田れん,@moon_0094,るびちゃ,ばも,ニャンツァー
小川あおい,@sun_0095,moku,るびちゃ,
後藤ちひろ,@sky_0096,moku,ばも,
岡田こはる,@cat_0097,ニャンツァー,,
長谷川ななみ,@fox_0098,柘榴_ざくろ,ぷりも,
村上さら,@bear_0099,柘榴_ざくろ,moku,ヌウア
近藤はると,@vrc_0100,ぷりも,,
石井はやと,@game_0101,Diefuku,れあちーず,
斎藤かいと,@play_0102,柘榴_ざくろ,ふぃり,
坂本まい,@star_0103,なゆたの,,
遠藤けい,@moon_0104,ちるちる,,
藤井るい,@sun_0105,なんこつ,ばじばじ,ちるちる
青木せい,@sky_0106,ぷりも,なんこつ,Diefuku
西村りょう,@cat_0107,ぷりも,ちるちる,
福田ゆう,@fox_0108,ぷりも,Diefuku,
太田なお,@bear_0109,Diefuku,ニャンツァー,
三浦まさき,@vrc_0110,moku,ヌウア,
藤原ゆうと,@game_0111,ばじばじ,なゆたの,
岡本ほのか,@play_0112,ニャンツァー,ばも,ヌウア
松田ひまり,@star_0113,Diefuku,ちるちる,柘榴_ざくろ
中川そうた,@moon_0114,ぷりも,ちるちる,
竹内しょうた,@sun_0115,なんこつ,,
金子ゆうな,@sky_0116,なゆたの,ヌウア,
和田ことね,@cat_0117,Diefuku,なんこつ,ヌウア
中野みなと,@fox_0118,ばも,れあちーず,
原田けんた,@bear_0119,ニャンツァー,ぷりも,
